Page,Date,Time_Reported,Time_Occurred,Year,Incident_Type,Incident_Type_Clean,Location,Location_Clean,Address,Synopsis,Disposition,Report_Number,Post_ID,,,,,,,,,,,,
10,"March 21, 2026",03/21/2026 at 10:40 PM,03/21/2026 at 9:20 PM,2026,Motor Vehicle Theft,Stolen Vehicle,Dauten Dorm,Dauten Dorm,"Dauten Hall, Washington University in St. Louis, MO",Complainant reports theft of electric scooter.,Unfounded,260112,27721,,,,,,,,,,,,
10,"March 20, 2026",03/20/2026 at 4:02 PM,03/20/2026 at 4:02 PM,2026,Harassment,Harassment,Kemper Art Museum,Mildred Lane Kemper Art,"Kemper Art Museum, Washington University in St. Louis, MO",Complainant reports concerning communication.,Closed,26-03-20-011648,27741,,,,,,,,,,,,
10,"March 18, 2026",03/18/2026 at 9:50 PM,03/18/2026 at 9:50 PM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260106,27715,,,,,,,,,,,,
11,"March 16, 2026",03/16/2026 at 9:36 PM,03/16/2026 at 7:30 PM,2026,Larceny,Larceny,Sumers Rec,Sumers Rec Center,"Sumers Rec Center, Washington University in St. Louis, MO",Complainant reports theft of clothing.,Closed,260105,27708,,,,,,,,,,,,
11,"March 13, 2026",03/13/2026 at 2:21 PM,03/13/2026 at 2:21 PM,2026,Larceny,Larceny,McMillen Lab,McMillen Lab,"McMillen Lab, Washington University in St. Louis, MO",Complainant reports theft of documents.,Active,26-03-13-010685,27711,,,,,,,,,,,,
11,"March 12, 2026",03/13/2026 at 9:28 PM,03/12/2026 at 10:30 PM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260102,27678,,,,,,,,,,,,
11,"March 11, 2026",03/30/2026 at 12:35 AM,03/11/2026 at 10:30 PM,2026,Harassment,Harassment,North Campus,North Campus,"700 Rosedale Ave, St. Louis, MO 63112","Complainant reports concerning communication,",Active,260131,27770,,,,,,,,,,,,
11,"March 11, 2026",03/11/2026 at 5:04 PM,03/11/2026 at 5:04 PM,2026,Harassment,Harassment,McPherson Ave,McPherson Ave,"McPherson Ave, St. Louis, MO",Assisted SLMPD with a harassment.,Referred to SLMPD,26-03-11-010399,27660,,,,,,,,,,,,
11,"March 11, 2026",03/11/2026 at 12:30 PM,03/11/2026 at 12:30 PM,2026,Trespass,Trespassing,Bears Den,Bears Den,"Bears Den (Danforth University Center), Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260101,27672,,,,,,,,,,,,
11,"March 10, 2026",03/10/2026 at 9:07 AM,03/10/2026 at 9:07 AM,2026,Larceny,Larceny,Rebstock Hall,Rebstock Hall,"Rebstock Hall, Washington University in St. Louis, MO",Complainant reports theft of purse.,Active,26-03-10-010223,27657,,,,,,,,,,,,
11,"March 9, 2026",03/09/2026 at 11:27 AM,03/09/2026 at 11:27 AM,2026,Larceny,Larceny,McPherson Ave,McPherson Ave,"McPherson Ave, St. Louis, MO",Assist SLMPD with a larceny.,Referred to SLMPD,26-03-09-010104,27655,,,,,,,,,,,,
11,"March 9, 2026",03/09/2026 at 3:01 AM,03/09/2026 at 3:01 AM,2026,Trespass,Trespassing,Kingsland Ave,Kingsland Ave,"Kingsland Ave, St. Louis, MO",Assisted UCPD with a trespass.,Referred to UCPD,26-03-09-010038,27775,,,,,,,,,,,,
11,"March 7, 2026",03/18/2026 at 12:55 PM,03/07/2026 at 2:25 PM,2026,Fraud,Fraud,Kingshighway Blvd,Kingshighway Blvd,"Kingshighway Blvd, St. Louis, MO",Assisted SLMPD with a fraud.,Referred to SLMPD,260109,27717,,,,,,,,,,,,
12,"March 5, 2026",03/05/2026 at 8:55 PM,03/05/2026 at 8:40 PM,2026,Larceny,Larceny,Bears Den,Bears Den,"Bears Den (Danforth University Center), Washington University in St. Louis, MO",Complainant reports theft of food.,Referred to Judicial,260098,27642,,,,,,,,,,,,
12,"March 5, 2026",03/05/2026 at 4:41 PM,03/05/2026 at 3:10 PM,2026,Larceny,Larceny,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Complainant reports theft of food.,Inactive,26-03-05-009537,27646,,,,,,,,,,,,
12,"March 5, 2026",03/05/2026 at 1:43 PM,03/05/2026 at 1:20 PM,2026,Larceny,Larceny,Bears Den,Bears Den,"Bears Den (Danforth University Center), Washington University in St. Louis, MO",Complainant reports theft of food.,Referred to Judicial,260096,27640,,,,,,,,,,,,
12,"March 5, 2026",03/05/2026 at 11:17 AM,03/05/2026 at 11:17 AM,2026,Auto Accident – Leave The Scene,Auto Accident – Leave The Scene,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Complainant reports vehicle damage from car accident.,Active,26-03-05-009491,27648,,,,,,,,,,,,
12,"March 3, 2026",03/03/2026 at 10:43 PM,03/03/2026 at 10:43 PM,2026,Property Destruction,Property Destruction,Hillman Hall,Hillman Hall,"Hillman Hall, Washington University in St. Louis, MO",Complainant reports damage to stairs.,Cleared By Arrest,260095,27638,,,,,,,,,,,,
12,"February 28, 2026",02/28/2026 at 7:50 PM,02/28/2026 at 7:30 PM,2026,Trespass,Trespassing,Graham Chapel,Graham Chapel,"Graham Chapel, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260094,27614,,,,,,,,,,,,
12,"February 28, 2026",02/28/2026 at 7:01 PM,02/28/2026 at 7:01 PM,2026,Larceny,Larceny,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Complainant reports theft of computer equipment.,Cleared By Arrest,260093,27609,,,,,,,,,,,,
12,"February 28, 2026",02/28/2026 at 5:23 PM,02/28/2026 at 4:35 PM,2026,Larceny,Larceny,Hillman Hall,Hillman Hall,"Hillman Hall, Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,260092,27607,,,,,,,,,,,,
12,"February 27, 2026",02/27/2026 at 8:56 AM,02/27/2026 at 8:56 AM,2026,Trespass,Trespassing,Delmar Blvd,Delmar Blvd,"Delmar Blvd, St. Louis, MO",Assisted SLMPD with a trespass.,Referred to SLMPD,26-02-27-008393,27605,,,,,,,,,,,,
12,"February 25, 2026",02/25/2026 at 10:41 PM,02/25/2026 at 10:41 PM,2026,Larceny,Larceny,Olin Library,Olin Library,"1 Brookings Dr, St. Louis, MO 63130",Complainant reports theft of money.,Inactive,260088,27611,,,,,,,,,,,,
13,"February 25, 2026",02/26/2026 at 1:13 PM,02/25/2026 at 4:10 PM,2026,Auto Accident – Leave The Scene,Auto Accident – Leave The Scene,West Campus,West Campus,"7425 Forsyth Blvd Basement, St. Louis, MO 63130",Assisted UCPD with a leaving the scene auto accident.,Referred to UCPD,26-02-26-008261,27603,,,,,,,,,,,,
13,"February 24, 2026",02/24/2026 at 4:08 PM,02/24/2026 at 4:08 PM,2026,Trespass,Trespassing,Walker Hall,Walker Hall,"Walker Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260083,27597,,,,,,,,,,,,
13,"February 24, 2026",02/24/2026 at 9:08 AM,02/24/2026 at 9:08 AM,2026,Terrorist Threat,Terrorist Threat,Danforth Campus,Danforth Campus,"6475 Forsyth Blvd, St. Louis, MO 63105",Complainant reports armed individual.,Active,260082,27595,,,,,,,,,,,,
13,"February 24, 2026",02/24/2026 at 3:17 AM,02/24/2026 at 3:17 AM,2026,Trespass,Trespassing,West Campus,West Campus,"7425 Forsyth Blvd Basement, St. Louis, MO 63130",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260081,27601,,,,,,,,,,,,
13,"February 21, 2026",02/21/2026 at 1:14 PM,02/21/2026 at 11:14 AM,2026,Larceny,Larceny,Olin Library,Olin Library,"1 Brookings Dr, St. Louis, MO 63130",Complainant reports theft of tech equipment.,Inactive,270076,27558,,,,,,,,,,,,
13,"February 20, 2026",02/20/2026 at 9:17 PM,02/20/2026 at 9:17 PM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260074,27556,,,,,,,,,,,,
13,"February 19, 2026",02/19/2026 at 12:30 PM,02/19/2026 at 5:44 PM,2026,Larceny,Larceny,Delmar Blvd,Delmar Blvd,"Delmar Blvd, St. Louis, MO",Assisted SLMPD with a larceny.,Referred to SLMPD,26-02-19-007191,27599,,,,,,,,,,,,
13,"February 18, 2026",02/19/2026 at 12:46 AM,02/18/2026 at 9:54 PM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260069,27554,,,,,,,,,,,,
13,"February 18, 2026",02/18/2026 at 5:54 PM,02/18/2026 at 5:54 PM,2026,Property Destruction,Property Destruction,Pershing Ave,Pershing Ave,"Pershing Ave, St. Louis, MO",Assisted SLMPD with a property destruction.,Referred to SLMPD,26-02-18-007033,27547,,,,,,,,,,,,
13,"February 16, 2026",02/16/2026 at 9:04 PM,02/16/2026 at 9:04 PM,2026,Trespass,Trespassing,Danforth Campus,Danforth Campus,"6475 Forsyth Blvd, St. Louis, MO 63105",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260065,27545,,,,,,,,,,,,
14,"February 16, 2026",02/17/2026 at 10:05 AM,02/16/2026 at 4:00 PM,2026,Larceny,Larceny,Eliot House,Eliot House,"Eliot House, Washington University in St. Louis, MO",Complainant reports theft of bike.,Unfounded,260066,27552,,,,,,,,,,,,
14,"February 16, 2026",02/16/2026 at 9:17 AM,02/16/2026 at 9:17 AM,2026,Trespass,Trespassing,McKelvey Hall,McKelvey Hall,"McKelvey Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260062,27617,,,,,,,,,,,,
14,"February 15, 2026",02/16/2026 at 10:37 AM,02/15/2026 at 10:00 AM,2026,Fraud,Fraud,Seigle Hall,Seigle Hall,"Seigle Hall, Washington University in St. Louis, MO",Complainant reports extortion through social media.,Inactive,260063,27543,,,,,,,,,,,,
14,"February 14, 2026",02/14/2026 at 6:06 PM,02/14/2026 at 6:06 PM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260058,27541,,,,,,,,,,,,
14,"February 14, 2026",02/14/2026 at 12:05 AM,02/14/2026 at 12:05 AM,2026,Larceny,Larceny,Bears Den,Bears Den,"Bears Den (Danforth University Center), Washington University in St. Louis, MO",Complainant reports theft of personal items.,Inactive,260055,27537,,,,,,,,,,,,
14,"February 13, 2026",02/13/2026 at 8:14 AM,02/13/2026 at 8:10 AM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260052,27534,,,,,,,,,,,,
14,"February 11, 2026",02/11/2026 at 9:46 PM,02/11/2026 at 9:46 PM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260051,27512,,,,,,,,,,,,
14,"February 10, 2026",02/11/2026 at 5:07 PM,02/10/2026 at 1:30 PM,2026,Larceny,Larceny,Lofts,Lofts,"Lofts, Washington University in St. Louis, MO",Assisted SLMPD with a larceny.,Referred to SLMPD,260050,27510,,,,,,,,,,,,
14,"February 9, 2026",05/02/2026 at 1:30 PM,02/09/2026 at 12:00 AM,2026,Larceny,Larceny,Mudd Dorm,Mudd Dorm,"Mudd Hall, Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,260189,27882,,,,,,,,,,,,
14,"February 8, 2026",02/08/2026 at 2:31 AM,02/08/2026 at 2:00 PM,2026,Larceny,Larceny,Gregg House,Gregg,"Gregg House, Washington University in St. Louis, MO",Complainant reports theft of clothes.,Property Recovered; Closed,260046,27491,,,,,,,,,,,,
15,"February 7, 2026",02/07/2026 at 1:15 PM,02/07/2026 at 1:10 PM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared,260044,27469,,,,,,,,,,,,
15,"February 6, 2026",02/06/2026 at 11:14 PM,02/06/2026 at 11:17 PM,2026,Fraud,Fraud,Debaliviere Pl,Debaliviere Pl,"Debaliviere Pl, St. Louis, MO",Assisted SLMPD with a fraud.,Referred to SLMPD,26-02-06-005188,27480,,,,,,,,,,,,
15,"February 5, 2026",02/05/2026 at 3:36 PM,02/05/2026 at 3:36 PM,2026,Sexual Assault,Sexual Assault,East End Garage,East End Garage,"East End Garage, Washington University in St. Louis, MO",Complainant reports non-consensual incident.,Inactive,260042,27466,,,,,,,,,,,,
15,"February 5, 2026",02/05/2026 at 10:51 AM,02/05/2026 at 10:51 AM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260041,27436,,,,,,,,,,,,
15,"February 5, 2026",02/05/2026 at 8:01 AM,02/05/2026 at 8:01 AM,2026,Trespass,Trespassing,West Campus,West Campus,"7425 Forsyth Blvd Basement, St. Louis, MO 63130",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260039,27434,,,,,,,,,,,,
15,"February 5, 2026",02/05/2026 at 7:16 AM,02/05/2026 at 7:16 AM,2026,Trespass,Trespassing,Olin Library,Olin Library,"1 Brookings Dr, St. Louis, MO 63130",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260040,27439,,,,,,,,,,,,
15,"January 30, 2026",01/30/2026 at 12:28 AM,01/30/2026 at 12:28 AM,2026,Motor Vehicle Theft (Attempt),Motor Vehicle Theft (Attempt),Lofts,Lofts,"Lofts, Washington University in St. Louis, MO",Assisted SLMPD with attempted motor vehicle theft.,Referred to SLMPD,26-01-30-003961,27410,,,,,,,,,,,,
15,"January 29, 2026",01/29/2026 at 6:51 PM,01/29/2026 at 6:51 PM,2026,Fraud,Fraud,Delmar Blvd,Delmar Blvd,"Delmar Blvd, St. Louis, MO",Assisted UCPD with a fraud.,Referred to UCPD,26-01-29-003922,27407,,,,,,,,,,,,
15,"January 28, 2026",01/28/2026 at 10:46 AM,01/28/2026 at 10:46 AM,2026,Larceny,Larceny,Bears Den,Bears Den,"Bears Den (Danforth University Center), Washington University in St. Louis, MO",Complainant reports theft of shoes.,Active,260031,27417,,,,,,,,,,,,
15,"January 24, 2026",01/29/2026 at 1:27 PM,01/24/2026 at 8:00 AM,2026,Auto Accident – Leave The Scene,Auto Accident – Leave The Scene,East End Garage,East End Garage,"East End Garage, Washington University in St. Louis, MO",Complainant reports leaving the scene of an auto accident.,Active,260032,27475,,,,,,,,,,,,
16,"January 24, 2026",01/24/2026 at 2:34 AM,01/24/2026 at 2:34 AM,2026,Fraud,Fraud,Clayton,Clayton,"Clayon, MO",Complainant reports fraudulent transaction.,Referred to UCPD,26-01-24-003150,27398,,,,,,,,,,,,
16,"January 24, 2026",01/24/2026 at 1:52 AM,01/24/2026 at 1:11 AM,2026,Harassment,Harassment,Hitzeman Hall,Hitzeman Hall,"Hitzeman Hall, Washington University in St. Louis, MO",Complainant reports threatening communication.,Active,260028,27396,,,,,,,,,,,,
16,"January 21, 2026",01/21/2026 at 8:14 PM,01/21/2026 at 8:14 PM,2026,Simple Assault,Assault,Lien Hall,Lien Hall,"Lien Hall, Washington University in St. Louis, MO",Disturbance resulted in assault.,Active,260025,27405,,,,,,,,,,,,
16,"January 21, 2026",01/21/2026 at 5:24 PM,01/21/2026 at 5:24 PM,2026,Weapons Violation,Weapons Violation,Olin Library,Olin Library,"1 Brookings Dr, St. Louis, MO 63130",Subject located in possession of weapons.,Cleared By Arrest,260023,27493,,,,,,,,,,,,
16,"January 19, 2026",01/19/2026 at 4:51 PM,01/19/2026 at 11:53 AM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260016,27362,,,,,,,,,,,,
16,"January 17, 2026",01/17/2026 at 8:29 PM,01/17/2026 at 8:00 PM,2026,Larceny,Larceny,Sumers Rec,Sumers Rec Center,"Sumers Rec Center, Washington University in St. Louis, MO",Complainant reports theft of shoes.,Active,260014,27360,,,,,,,,,,,,
16,"January 17, 2026",01/17/2026 at 12:14 AM,01/17/2026 at 12:14 AM,2026,Harassment,Harassment,Danforth Campus,Danforth Campus,"6475 Forsyth Blvd, St. Louis, MO 63105",Complainant reports concerning communication.,Active,26-01-17-002137,27367,,,,,,,,,,,,
16,"January 16, 2026",01/17/2026 at 12:26 PM,01/16/2026 at 9:52 PM,2026,Larceny,Larceny,Mallinckrodt Center,Mallinckrodt Center,"Mallinckrodt Center, Washington University in St. Louis, MO",Complainant reports theft of money.,Inactive,260013,27358,,,,,,,,,,,,
16,"January 16, 2026",01/16/2026 at 8:41 PM,01/16/2026 at 9:00 AM,2026,Larceny,Larceny,Koenig Dorm,Koenig Dorm,"Koenig House, Washington University in St. Louis, MO",Complainant reports theft of bike.,Inactive,260012,27356,,,,,,,,,,,,
16,"January 15, 2026",01/15/2026 at 12:54 PM,01/15/2026 at 12:54 PM,2026,Larceny,Larceny,Village House,Village House,"Village House, Washington University in St. Louis, MO",Complainant reports theft of scooter.,Inactive,260010,27354,,,,,,,,,,,,
17,"January 14, 2026",01/14/2026 at 1:31 PM,01/14/2026 at 1:31 PM,2026,Larceny,Larceny,Waterman Blvd,Waterman Blvd,"Waterman Blvd, St. Louis, MO",Assisted SLMPD with a larceny.,Referred to SLMPD,26-01-14-001690,27339,,,,,,,,,,,,
17,"January 12, 2026",01/12/2026 at 3:27 PM,01/12/2026 at 3:27 PM,2026,Larceny,Larceny,Washington Ave,Washington Ave,"Washington Ave, St. Louis, MO",Assisted UCPD with a larceny.,Referred to UCPD,26-01-12-001360,27619,,,,,,,,,,,,
17,"January 12, 2026",01/12/2026 at 12:46 PM,01/12/2026 at 12:46 PM,2026,Larceny,Larceny,Shepley House,Shepley Dorm,"214-298 S Big Bend Blvd, Clayton, MO 63105",Complainant reports theft of bike.,Inactive,260009,27329,,,,,,,,,,,,
17,"January 12, 2026",01/12/2026 at 10:59 AM,01/12/2026 at 10:59 AM,2026,Larceny,Larceny,McPherson Ave,McPherson Ave,"McPherson Ave, St. Louis, MO",Assisted SLMPD with a larceny.,Referred to SLMPD,26-01-12-001320,27331,,,,,,,,,,,,
17,"January 12, 2026",01/12/2026 at 6:17 AM,01/12/2026 at 6:17 AM,2026,Trespass,Trespassing,Quadrangle,Quadrangle,"1 Brookings Dr, St. Louis, MO 63130",Subject with no WASHU affiliation located.,Exceptional Clearance,26-01-12-001286,28066,,,,,,,,,,,,
17,"January 9, 2026",01/09/2026 at 3:59 PM,01/09/2026 at 3:59 PM,2026,Larceny,Larceny,Delmar Blvd,Delmar Blvd,"Delmar Blvd, St. Louis, MO",Assisted SLMPD with a larceny.,Referred to SLMPD,26-01-09-001039,27327,,,,,,,,,,,,
17,"January 9, 2026",01/09/2026 at 2:22 PM,01/09/2026 at 11:22 AM,2026,Harassment,Harassment,AB Law,Anheuser-Busch Hall,"Anheuser-Busch Hall (Law School), Washington University in St. Louis, MO",Complainant reports concerning communication.,Active,260004,27316,,,,,,,,,,,,
17,"January 9, 2026",01/16/2026 at 6:12 PM,01/09/2026 at 12:00 AM,2026,Burglary,Burglary,McPherson Ave,McPherson Ave,"McPherson Ave, St. Louis, MO",Assisted SLMPD with a burglary.,Referred to SLMPD,26-01-16-002093,27365,,,,,,,,,,,,
17,"January 8, 2026",01/08/2026 at 2:08 PM,01/08/2026 at 2:04 PM,2026,Property Destruction,Property Destruction,Forsyth Blvd,Forsyth Blvd,"Forsyth Blvd, St. Louis, MO",Assisted Clayton PD with a property destruction.,Referred to Clayton PD,26-01-08-000897,27324,,,,,,,,,,,,
17,"January 6, 2026",01/06/2026 at 2:40 PM,01/06/2026 at 2:40 PM,2026,Larceny,Larceny,Sumers Rec,Sumers Rec Center,"Sumers Rec Center, Washington University in St. Louis, MO",Complainant reports stolen money.,Inactive,260001,27280,,,,,,,,,,,,
18,"January 5, 2026",01/05/2026 at 3:48 PM,01/05/2026 at 3:48 PM,2026,Fraud,Fraud,Saint Louis,Saint Louis,"St. Louis, MO 63130",Assisted SLMPD with a fraud.,Referred to SLMPD,26-01-05-000521,27258,,,,,,,,,,,,
18,"December 30, 2025",12/30/2025 at 6:00 PM,12/30/2025 at 6:00 PM,2025,Larceny,Larceny,Pershing Avenue,Pershing Avenue,"Pershing Avenue, St. Louis, MO",Assisted SLMPD with a larceny.,Referred to SLMPD,25-12-30-043609,27250,,,,,,,,,,,,
18,"December 27, 2025",09/04/2026 at 3:40 PM,12/27/2025 at 4:00 PM,2025,Harassment,Harassment,Danforth Campus,Danforth Campus,"6475 Forsyth Blvd, St. Louis, MO 63105",Complainant reports concerning communication.,Pending,260322,28601,,,,,,,,,,,,
18,"December 25, 2025",12/25/2025 at 5:13 PM,12/25/2025 at 5:10 PM,2025,Simple Assault,Assault,Knight Center,Knight Center,"Knight Center, Washington University in St. Louis, MO",Disturbance resulted in assault.,Active,250586,27246,,,,,,,,,,,,
18,"December 22, 2025",12/22/2025 at 10:45 PM,12/22/2025 at 10:45 PM,2025,Aggravated Assault,Aggravated Assault,Forsyth Blvd,Forsyth Blvd,"Forsyth Blvd, St. Louis, MO",Assisted UCPD with an aggravated assault.,Referred to UCPD,25-12-22-042756,27218,,,,,,,,,,,,
18,"December 19, 2025",12/19/2025 at 10:40 AM,12/19/2025 at 10:40 AM,2025,Property Destruction,Property Destruction,Cates Ave,Cates Ave,"Cates Ave, St. Louis, MO",Assisted UCPD with a property destruction.,Referred to UCPD,25-12-19-042309,27215,,,,,,,,,,,,
