Page,Date,Time_Reported,Time_Occurred,Incident_Type,Location,Synopsis,Disposition,Report_Number,Post_ID,,,,,,,,,,,,,,,,
41,"October 15, 2024",10/15/2024 at 6:36 PM,10/15/2024 at 6:36 PM,Larceny,Hitzeman Dorm,Complainant reports theft of packages.,Active,240397,16396,,,,,,,,,,,,,,,,
42,"October 11, 2024",10/13/2024 at 12:37 AM,10/11/2024 at 11:00 PM,Harassment,Danforth Campus,Complainant reports concerning communication.,Active,240392,16391,,,,,,,,,,,,,,,,
42,"October 11, 2024",01/23/2025 at 9:48 AM,10/11/2024 at 5:00 PM,Harassment,Bryan Hall,Complainant reports concerning communication and contact.,Cleared By Arrest,250026,16950,,,,,,,,,,,,,,,,
42,"October 11, 2024",10/11/2024 at 8:23 PM,10/11/2024 at 11:55 AM,Property Destruction,Snowway Garage,Driver hit and damaged gate arm.,Active,240389,16389,,,,,,,,,,,,,,,,
42,"October 9, 2024",10/14/2024 at 4:42 PM,10/09/2024 at 4:42 PM,Larceny,Park House Dorm,Complainant reports theft of bike.,Active,240396,16393,,,,,,,,,,,,,,,,
42,"October 6, 2024",11/12/2024 at 1:35 PM,10/06/2024 at 1:35 PM,Larceny,Beaumont Dorm,Complainant reports theft of scooter charger.,Active,240454,16622,,,,,,,,,,,,,,,,
42,"October 4, 2024",10/04/2024 at 2:18 PM,10/04/2024 at 2:10 PM,Property Destruction,Millbrook Garage,Driver hit and damaged gate arm.,Active,240381,16355,,,,,,,,,,,,,,,,
42,"October 4, 2024",10/04/2024 at 11:39 AM,10/04/2024 at 11:17 AM,Larceny,Lee Dorm,Complainant reports theft of laptop.,Unfounded,240380,16353,,,,,,,,,,,,,,,,
42,"September 29, 2024",09/29/2024 at 6:37 PM,09/29/2024 at 6:37 PM,Harassment,Danforth Campus,Complainant reports concerning messages.,Active,240370,16322,,,,,,,,,,,,,,,,
42,"September 27, 2024",09/27/2024 at 3:55 PM,09/27/2024 at 3:55 PM,Property Destruction (Hate Crime),Women's Building,Complainant reports derogatory carving on infrastructure.,Active,240362,16320,,,,,,,,,,,,,,,,
42,"September 27, 2024",09/27/2024 at 5:53 PM,09/27/2024 at 2:27 PM,Fraud,Mallinckrodt Center,Complainant reports fraudulent wire transaction.,Active,240357,16317,,,,,,,,,,,,,,,,
43,"September 26, 2024",09/26/2024 at 11:44 PM,09/26/2024 at 11:44 PM,Trespassing,Fraternity Row,Subject with no WUSTL affiliation located on campus.,Exceptional Clearance,240353,16312,,,,,,,,,,,,,,,,
43,"September 24, 2024",10/10/2024 at 4:00 PM,09/24/2024 at 5:18 PM,Larceny,Millbrook,Complainant reports theft of bike.,Active,240387,16387,,,,,,,,,,,,,,,,
43,"September 24, 2024",09/25/2024 at 10:55 AM,09/24/2024 at 1:00 PM,Larceny,Koenig Dorm,Complainant reports theft of bike.,Active,240351,16310,,,,,,,,,,,,,,,,
43,"September 24, 2024",09/27/2024 at 8:32 AM,09/24/2024 at 12:34 AM,Harassment,Simon Hall,Complainant reports concerning messages.,Active,240354,16315,,,,,,,,,,,,,,,,
43,"September 23, 2024",09/24/2024 at 4:49 PM,09/23/2024 at 1:00 PM,Larceny,Knight Hall,Complainant reports theft of headphones.,Inactive,240350,16308,,,,,,,,,,,,,,,,
43,"September 23, 2024",09/23/2024 at 5:51 PM,09/23/2024 at 1:21 AM,Motor Vehicle Theft,Lee Dorm,Complainant reports theft of electric bike.,Active,240348,16262,,,,,,,,,,,,,,,,
43,"September 22, 2024",09/22/2024 at 3:29 PM,09/22/2024 at 3:10 PM,Larceny,Mallinckrodt Center,Complainant reports theft of consumable goods.,Exceptional Clearance,240347,16259,,,,,,,,,,,,,,,,
43,"September 21, 2024",09/23/2024 at 8:33 PM,09/21/2024 at 1:00 PM,Property Destruction,Snow Way Garage,Driver hit and broke gate arm.,Exceptional Clearance,240349,16264,,,,,,,,,,,,,,,,
43,"September 21, 2024",09/21/2024 at 2:56 PM,09/21/2024 at 8:06 AM,Larceny,Mallinckrodt Center,Complainant reports theft of bike.,Active,240344,16257,,,,,,,,,,,,,,,,
43,"September 20, 2024",09/20/2024 at 1:50 PM,09/20/2024 at 1:50 PM,Property Destruction,Snow Way Garage,Driver broke gate arm.,Active,240340,16255,,,,,,,,,,,,,,,,
44,"September 16, 2024",09/16/2024 at 9:00 PM,09/16/2024 at 9:00 PM,Harassment,Danforth Campus,Complainant reports concerning communication.,Active,240333,16249,,,,,,,,,,,,,,,,
44,"September 16, 2024",09/16/2024 at 11:39 AM,09/16/2024 at 11:39 AM,Larceny,Whitaker Bio Medical,Complainant reports theft of bike.,Active,240327,16239,,,,,,,,,,,,,,,,
44,"September 16, 2024",09/20/2024 at 11:06 AM,09/16/2024 at 11:06 AM,Larceny,Cupples I,Complainant reports theft of bike.,Cleared by Arrest; Property Recovered,240339,16253,,,,,,,,,,,,,,,,
44,"September 16, 2024",09/16/2024 at 6:56 PM,09/16/2024 at 9:00 AM,Motor Vehicle Theft,AB Law,Complainant reports theft of electric bike.,Active,240330,16243,,,,,,,,,,,,,,,,
44,"September 15, 2024",09/15/2024 at 2:33 PM,09/15/2024 at 2:33 PM,Assault,South Campus,Disturbance resulted in assault.,Exceptional Clearance,240325,16213,,,,,,,,,,,,,,,,
44,"September 13, 2024",09/13/2024 at 11:56 PM,09/13/2024 at 8:00 PM,Stalking,Danforth Campus,Complainant reports influx of concerning communication.,Active,240320,16211,,,,,,,,,,,,,,,,
44,"September 13, 2024",09/12/2024 at 11:48 AM,09/13/2024 at 11:34 AM,Property Destruction,Millbrook Garage,Driver hit and damaged gate arm.,Active,240312,16189,,,,,,,,,,,,,,,,
44,"September 13, 2024",09/13/2024 at 10:31 AM,09/13/2024 at 10:31 AM,Harassment,North Brookings,Complainant reports concerning phone calls.,Active,240316,16205,,,,,,,,,,,,,,,,
44,"September 12, 2024",09/15/2024 at 2:52 PM,09/12/2024 at 5:00 PM,Motor Vehicle Theft,Village House,Complainant reports theft of electric scooter.,Cleared by Arrest; Property Recovered,240326,16215,,,,,,,,,,,,,,,,
44,"September 11, 2024",09/16/2024 at 6:13 PM,09/11/2024 at 8:37 PM,Motor Vehicle Theft,Givens Hall,Complainant reports theft of electric scooter.,Cleared by Arrest; Property Recovered,240329,16241,,,,,,,,,,,,,,,,
45,"September 10, 2024",09/10/2024 at 5:37 PM,09/10/2024 at 5:32 PM,Property Destruction,Millbrook Garage,Driver hit and broke gate arm.,Exceptional Clearance,240308,16164,,,,,,,,,,,,,,,,
45,"September 9, 2024",09/11/2024 at 10:42 AM,09/09/2024 at 10:00 PM,Larceny,AB Law,Complainant reports theft of bike.,Active,240310,16187,,,,,,,,,,,,,,,,
45,"September 9, 2024",09/09/2024 at 4:54 PM,09/09/2024 at 1:00 PM,Larceny,Wrighton Lab,Complainant reports theft of backpack.,Active; Property Recovered,240305,16161,,,,,,,,,,,,,,,,
45,"September 8, 2024",09/08/2024 at 6:50 PM,09/08/2024 at 5:38 PM,Larceny,Olin Library,Complainant reports theft of bike.,Active,240301,16159,,,,,,,,,,,,,,,,
45,"September 7, 2024",09/10/2024 at 6:57 PM,09/07/2024 at 5:30 PM,Motor Vehicle Theft,AB Law,Complainant reports theft of electric scooter.,Active,240309,16166,,,,,,,,,,,,,,,,
45,"September 7, 2024",09/07/2024 at 3:26 PM,09/07/2024 at 3:20 PM,Assault,South Campus,Disturbance resulted in assault.,Pending,240296,16155,,,,,,,,,,,,,,,,
45,"September 5, 2024",09/08/2024 at 6:18 PM,09/05/2024 at 3:00 PM,Motor Vehicle Theft,Bayer Hall,Complainant reports theft of electric bike.,Active,240300,16157,,,,,,,,,,,,,,,,
45,"September 4, 2024",09/04/2024 at 3:09 PM,09/04/2024 at 3:09 PM,Harassment,Danforth Campus,Complainant reports concerning communication.,Closed,240288,16153,,,,,,,,,,,,,,,,
45,"September 4, 2024",09/06/2024 at 5:40 PM,09/04/2024 at 6:00 AM,Property Destruction,Snow Way Garage,Driver hit and damaged gate arm.,Pending,240292,16217,,,,,,,,,,,,,,,,
45,"September 3, 2024",09/03/2024 at 9:39 PM,09/03/2024 at 9:39 PM,Larceny,Sumers Rec Center,Complainant reports theft of headphones.,Inactive,240282,16149,,,,,,,,,,,,,,,,
46,"September 3, 2024",11/19/2024 at 7:23 PM,09/03/2024 at 2:10 PM,Larceny,Simon Hall,Complainant reports theft of tennis racket.,Active,240468,16649,,,,,,,,,,,,,,,,
46,"September 3, 2024",09/10/2024 at 2:41 PM,09/03/2024 at 8:00 AM,Motor Vehicle Theft,Bayer Hall,Complainant reports theft of electric bike.,Pending,240307,16209,,,,,,,,,,,,,,,,
46,"August 30, 2024",08/30/2024 at 5:57 PM,08/30/2024 at 2:00 PM,Larceny,Park House,Complainant reports theft of clothing.,Cleared; Property Recovered,240272,16084,,,,,,,,,,,,,,,,
46,"August 29, 2024",08/30/2024 at 6:12 PM,08/29/2024 at 8:00 AM,Larceny,Givens Hall,Complainant reports theft of bike.,Active,240273,16086,,,,,,,,,,,,,,,,
46,"August 28, 2024",08/28/2024 at 12:11 AM,08/28/2024 at 12:11 AM,Larceny,AB Law,Complainant reports theft of money.,Active,240267,16065,,,,,,,,,,,,,,,,
46,"August 26, 2024",08/26/2024 at 11:15 AM,08/26/2024 at 11:12 AM,Larceny,Subway,Complainant reports theft of edible goods.,Exceptional Clearance,240263,16022,,,,,,,,,,,,,,,,
46,"August 22, 2024",08/23/2024 at 10:22 AM,08/22/2024 at 5:30 PM,Larceny,Whitaker Bio Medical,Complainant reports theft of lab supplies.,Active,240261,16019,,,,,,,,,,,,,,,,
46,"August 13, 2024",08/13/2024 at 7:16 PM,08/13/2024 at 7:16 PM,Fraud,Wrighton Lab,Complainant reports fraudulent bank transactions.,Active,240254,15985,,,,,,,,,,,,,,,,
46,"August 9, 2024",08/09/2024 at 6:11 PM,08/09/2024 at 5:23 PM,Property Destruction,Blewitt Music Building,Complainant reports broken car window.,Active,240251,15987,,,,,,,,,,,,,,,,
46,"August 6, 2024",08/06/2024 at 6:50 PM,08/06/2024 at 6:50 PM,Larceny,Mudd Dorm,Complainant reports missing bag. Loss $50,Inactive,240249,15860,,,,,,,,,,,,,,,,
47,"August 4, 2024",08/04/2024 at 8:52 PM,08/04/2024 at 8:52 PM,Property Destruction,Millbrook Garage,Driver hit and broke gate arm.,Active,240247,15862,,,,,,,,,,,,,,,,
47,"August 1, 2024",08/23/2024 at 9:05 AM,08/01/2024 at 12:00 AM,Harassment,Danforth Campus,Complainant reports concerning text messages.,Active,240258,16017,,,,,,,,,,,,,,,,
47,"July 18, 2024",07/18/2024 at 8:35 AM,07/18/2024 at 12:09 AM,Larceny,Lofts 2,Complainant reports theft of clothing.,Active,240242,16047,,,,,,,,,,,,,,,,
47,"July 11, 2024",07/15/2024 at 1:36 PM,07/11/2024 at 2:00 PM,Larceny,Wheeler House,Complainant reports bicycle missing. Loss: $420,Active,240241,15488,,,,,,,,,,,,,,,,
47,"July 8, 2024",,07/08/2024 at 5:50 PM,Security Memo – Robbery,West Campus Metrolink Parking Lot,,,,15461,,,,,,,,,,,,,,,,
47,"July 3, 2024",07/03/2024 at 9:54 PM,07/03/2024 at 9:40 PM,Trespassing,Promenade,Subjects with no WUSTL affiliation located on campus.,Closed,240236,15928,,,,,,,,,,,,,,,,
47,"June 27, 2024",06/27/2024 at 10:23 AM,06/27/2024 at 10:23 AM,Property Destruction,South Campus,Complainant reports broken window.,Active,240234,15926,,,,,,,,,,,,,,,,
47,"June 23, 2024",06/25/2024 at 10:53 AM,06/23/2024 at 2:09 AM,Larceny,Village East,Complainant reports theft of bike. Loss: $125,Closed; Property Recovered,240232,15460,,,,,,,,,,,,,,,,
47,"June 17, 2024",06/17/2024 at 10:43 AM,06/17/2024 at 10:43 AM,Embezzlement,Charles F. Knight Exec Ed,Complainant reports fraudulent employee transactions.,Exceptional Clearance,240225,15924,,,,,,,,,,,,,,,,
47,"June 16, 2024",06/16/2024 at 5:06 AM,06/16/2024 at 1:40 AM,Property Destruction,Milbrook Garage,Subject hit and damaged gate arm.,Active,240224,15922,,,,,,,,,,,,,,,,
48,"May 19, 2024",05/19/2024 at 2:08 PM,05/19/2024 at 7:00 AM,Larceny,AB Law,Complainant reports theft of bike. Loss: $500,Cleared by Arrest; Property Recovered,240208,15419,,,,,,,,,,,,,,,,
48,"May 13, 2024",05/13/2024 at 1:04 PM,05/13/2024 at 12:30 PM,Assault,Wrighton Way,Disturbance resulted in physical contact.,Active,240202,15398,,,,,,,,,,,,,,,,
48,"May 11, 2024",05/22/2024 at 5:01 PM,05/11/2024 at 3:00 PM,Larceny,Athletic Complex,Complainant reports theft of speaker. Loss $24,Active,240211,15417,,,,,,,,,,,,,,,,
48,"May 10, 2024",05/10/2024 at 8:23 AM,05/10/2024 at 8:23 AM,Larceny,Mallinckrodt UPS Drop Box,Complainant reports theft of two packages from drop box. Loss $75,Cleared by Arrest; Property Recovered,240199,15396,,,,,,,,,,,,,,,,
48,"May 7, 2024",05/08/2024 at 2:02 PM,05/07/2024 at 10:00 AM,Harassment,AB Law,Complainant reports influx of concerning messages.,Active,240196,15920,,,,,,,,,,,,,,,,
48,"May 6, 2024",05/07/2024 at 10:28 AM,05/06/2024 at 11:45 PM,Larceny,Simon Hall,Complainant reported theft of wallet. Loss $75,Active,240193,15393,,,,,,,,,,,,,,,,
48,"May 2, 2024",05/02/2024 at 8:32 PM,05/02/2024 at 3:48 PM,Larceny,Wallace Garage,Complainant reports theft of toolbox from vehicle. Loss $100,Active,240189,15409,,,,,,,,,,,,,,,,
48,"May 1, 2024",,05/01/2024 at 10:20 PM,Security Memo-Criminal Activity,Des Peres/Forest Park Parkway,,,,15377,,,,,,,,,,,,,,,,
48,"May 1, 2024",05/29/2025 at 12:25 PM,05/01/2024 at 12:00 AM,Harassment,Danforth Campus,Complainant reports concerning communication.,Pending,250270,26169,,,,,,,,,,,,,,,,
48,"April 30, 2024",04/30/2024 at 8:13 PM,04/30/2024 at 8:13 PM,Larceny,Givens Hall,Complainant reports theft of bike. Loss $400,Closed,240187,15405,,,,,,,,,,,,,,,,
49,"April 30, 2024",04/30/2024 at 10:52 PM,04/30/2024 at 7:10 PM,Larceny,Brauer Hall,Complainant reports theft of laptop. Loss $900,Exceptional Clearance; Property Recovered,240188,15407,,,,,,,,,,,,,,,,
49,"April 30, 2024",04/30/2024 at 8:38 PM,04/30/2024 at 5:33 PM,Motor Vehicle Theft,Olin Library,Complainant reported theft of an electric scooter. Loss $270,Closed; Property Recovered,240186,15403,,,,,,,,,,,,,,,,
49,"April 27, 2024",04/27/2024 at 2:39 PM,04/27/2024 at 3:00 PM,Assault,Brookings Drive,Disturbance resulted in physical contact.,Cleared By Arrest,240176,15916,,,,,,,,,,,,,,,,
49,"April 27, 2024",04/27/2024 at 2:39 PM,04/27/2024 at 3:00 PM,Trespassing,Brookings Drive,Subjects with no WUSTL affiliation located on campus.,Cleared By Arrest,240176,15918,,,,,,,,,,,,,,,,
49,"April 24, 2024",04/25/2024 at 10:03 AM,04/24/2024 at 12:00 AM,Motor Vehicle Theft,Lee Dorm,Complainant reports theft of scooter.,Unfounded; Returned To Owner,240174,15914,,,,,,,,,,,,,,,,
49,"April 22, 2024",09/04/2024 at 10:19 AM,04/22/2024 at 10:19 PM,Larceny,Park House,Complainant reports theft of music equipment.,Active,240283,16151,,,,,,,,,,,,,,,,
49,"April 21, 2024",04/22/2024 at 2:36 PM,04/21/2024 at 3:00 PM,Fraud,Danforth Campus,Complainant reports fraudulent bank transactions.,Active,240167,15910,,,,,,,,,,,,,,,,
49,"April 20, 2024",04/23/2024 at 8:45 PM,04/20/2024 at 8:45 PM,Stalking,Lopata House,Complainant reports influx of concerning messages.,Active,240171,15912,,,,,,,,,,,,,,,,
49,"April 20, 2024",04/20/2024 at 8:17 PM,04/20/2024 at 8:17 PM,Trespassing,Mudd Field,Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,240159,15908,,,,,,,,,,,,,,,,
49,"April 20, 2024",04/22/2024 at 11:54 AM,04/20/2024 at 6:43 PM,Larceny,Mudd Field,Complainant reports theft of phone from backpack. Loss $500,Active,240165,15391,,,,,,,,,,,,,,,,
50,"April 20, 2024",04/20/2024 at 5:52 PM,04/20/2024 at 5:52 PM,Assault,Simon Parking Lot,Disturbance resulted in physical contact.,Active,240158,15906,,,,,,,,,,,,,,,,
50,"April 19, 2024",04/21/2024 at 12:55 AM,04/19/2024 at 11:30 AM,Larceny,Brauer Hall,Complainant reports theft of money from vehicle. Loss $300,Active,240162,15389,,,,,,,,,,,,,,,,
50,"April 16, 2024",04/16/2024 at 2:31 PM,04/16/2024 at 2:26 PM,Assault,Simon Hall,Disturbance resulted in physical contact.,Closed,240151,15904,,,,,,,,,,,,,,,,
50,"April 13, 2024",04/13/2024 at 9:13 AM,04/13/2024 at 9:13 AM,Trespassing,Graham Chapel,Subjects with no WUSTL affiliation located on campus.,Cleared By Arrest,240146,15902,,,,,,,,,,,,,,,,
50,"April 13, 2024",04/13/2024 at 12:11 PM,04/13/2024 at 7:30 AM,Larceny,Whitaker Hall,Complainant reports theft of backpack. Loss $1500,Exceptional Clearance; Property Recovered,240147,15341,,,,,,,,,,,,,,,,
50,"April 12, 2024",04/13/2024 at 12:10 PM,04/12/2024 at 12:18 PM,Larceny,Bear's Den,Complainant reports theft of backpack. Loss $1530,Closed; Property Recovered,240148,15339,,,,,,,,,,,,,,,,
50,"April 11, 2024",04/11/2024 at 4:27 PM,04/11/2024 at 8:30 AM,Larceny,Givens Hall,Complainant reports theft of bicycle. Loss $1200,Active,240143,15344,,,,,,,,,,,,,,,,
50,"April 10, 2024",04/11/2024 at 11:17 AM,04/10/2024 at 9:10 PM,Larceny,Simon Hall,Complainant reports theft of bag. Loss $2700,Active,240141,15348,,,,,,,,,,,,,,,,
50,"April 10, 2024",02/24/2025 at 12:22 PM,04/10/2024 at 12:00 PM,Harassment,Cupples II,Complainant reports concerning messages.,Closed,250092,17183,,,,,,,,,,,,,,,,
50,"April 9, 2024",04/10/2024 at 2:03 PM,04/09/2024 at 7:30 AM,Trespassing,AB Law,Subject with no WUSTL affiliation located on campus.,Active,240139,15900,,,,,,,,,,,,,,,,
51,"April 4, 2024",04/05/2024 at 11:10 AM,04/04/2024 at 5:30 PM,Larceny,DUC,Complainant reports theft of bicycle. Loss $325,Active; Property Recovered,240125,15350,,,,,,,,,,,,,,,,
51,"April 4, 2024",04/11/2024 at 2:00 PM,04/04/2024 at 10:30 AM,Larceny,Busch Hall,Complainant reports theft of phone charger. Loss $12,Active,240142,15346,,,,,,,,,,,,,,,,
51,"April 3, 2024",04/03/2024 at 1:12 PM,04/03/2024 at 10:00 AM,Harassment,Charles F. Knight Exec Ed,Complainant reports concerning communication.,Closed,240137,15898,,,,,,,,,,,,,,,,
51,"April 1, 2024",09/14/2024 at 8:04 PM,04/01/2024 at 8:04 PM,Assault,Danforth Campus,Disturbance resulted in assault.,Exceptional Clearance,240319,16207,,,,,,,,,,,,,,,,
51,"March 30, 2024",03/31/2024 at 2:35 PM,03/30/2024 at 12:00 AM,Larceny,Campus Creamery,Complainant reports theft of framed object. Loss $6,Closed,240120,15354,,,,,,,,,,,,,,,,
51,"March 29, 2024",04/03/2024 at 3:59 PM,03/29/2024 at 5:00 PM,Larceny,AB Law,Complainant reported multiple thefts from building. Loss $1045,Active,240123,15381,,,,,,,,,,,,,,,,
51,"March 28, 2024",03/28/2024 at 5:21 PM,03/28/2024 at 4:45 PM,Harassment,Danforth Campus,Complainant reports concerning communication.,Active,240115,15896,,,,,,,,,,,,,,,,
51,"March 27, 2024",03/27/2024 at 12:12 PM,03/27/2024 at 10:39 AM,Stalking,Sumers Rec Center,Complainant reports concerning communication.,Closed,240113,15894,,,,,,,,,,,,,,,,
51,"March 27, 2024",03/27/2024 at 8:46 AM,03/27/2024 at 8:30 AM,Trespassing,Ridgely Hall,Subject with no WUSTL affiliation located on campus.,Active,240112,15892,,,,,,,,,,,,,,,,
51,"March 26, 2024",03/28/2024 at 2:19 PM,03/26/2024 at 12:30 PM,Larceny,Knight Hall,Complainant reports theft of wallet. Loss $4686.33,Active,240114,15310,,,,,,,,,,,,,,,,
52,"March 18, 2024",03/21/2024 at 3:19 PM,03/18/2024 at 10:00 AM,Larceny,Brauer Hall,Complainant reports theft of wallet. Loss $220,Active,240100,15280,,,,,,,,,,,,,,,,
52,"March 18, 2024",03/20/2024 at 8:59 AM,03/18/2024 at 12:00 AM,Larceny,Seigle Hall,Complainant reports theft of headphones. Loss $300,Active,240095,15282,,,,,,,,,,,,,,,,
52,"March 16, 2024",03/16/2024 at 4:19 PM,03/16/2024 at 3:00 PM,Harassment,Dardick House,Complainant reports concerning messages.,Closed,240092,15890,,,,,,,,,,,,,,,,
52,"March 13, 2024",03/14/2024 at 11:50 AM,03/13/2024 at 10:30 AM,Larceny,West Campus Library,Complainant reports theft of purse. Loss Unknown,Active,240091,15284,,,,,,,,,,,,,,,,
52,"March 1, 2024",03/04/2024 at 9:00 AM,03/01/2024 at 3:00 PM,Larceny,Seigle Hall,Complainant reports theft of office supplies and money. Loss $70,Active,240077,15265,,,,,,,,,,,,,,,,
52,"February 29, 2024",02/29/2024 at 2:14 PM,02/29/2024 at 12:50 PM,Larceny,Lopata Hall,Complainant reports theft of laptop bag. Loss $1960,Inactive,240076,15258,,,,,,,,,,,,,,,,
52,"February 27, 2024",02/28/2024 at 1:06 AM,02/27/2024 at 11:37 PM,Trespassing,Somers Family Hall,Subjects with no WUSTL affiliation located on campus.,Active,240074,15885,,,,,,,,,,,,,,,,
52,"February 27, 2024",02/28/2024 at 3:57 PM,02/27/2024 at 2:00 PM,Motor Vehicle Theft,Lee Dorm,Complainant reports theft of motor scooter. Loss $250,Active,240075,15252,,,,,,,,,,,,,,,,
52,"February 21, 2024",02/21/2024 at 8:42 PM,02/21/2024 at 7:15 PM,Motor Vehicle Theft,Whitaker,Complainant reports theft of motorized scooter. Loss $250,Inactive,240067,15250,,,,,,,,,,,,,,,,
52,"February 20, 2024",02/20/2024 at 5:47 PM,02/20/2024 at 12:30 PM,Larceny,Olin Library,Complainant reports theft of electric scooter. Loss $400,Active,240064,15245,,,,,,,,,,,,,,,,
53,"February 18, 2024",03/05/2024 at 1:00 PM,02/18/2024 at 1:59 PM,Larceny,Mallinckrodt UPS Drop Box,Complainant reports theft of packages. Loss $798,Active,240079,15269,,,,,,,,,,,,,,,,
53,"February 17, 2024",02/17/2024 at 1:57 PM,02/17/2024 at 12:30 AM,Larceny,Bears Den,Complainant reports theft of skateboard.,Unfounded; Returned To Owner,240060,15881,,,,,,,,,,,,,,,,
53,"February 10, 2024",02/10/2024 at 3:44 PM,02/10/2024 at 11:01 AM,Larceny,Green Hall,Complainant reports theft of bike. Loss $100,Cleared by Arrest; Property Recovered,240054,15193,,,,,,,,,,,,,,,,
53,"February 7, 2024",02/07/2024 at 9:28 AM,02/07/2024 at 9:28 AM,Harassment,Danforth Campus,Complainant reports concerning communication.,Active,240048,15877,,,,,,,,,,,,,,,,
53,"February 6, 2024",02/09/2024 at 9:27 PM,02/06/2024 at 8:00 AM,Fraud,Zetcher House,Complainant reports fraudulent sale of goods.,Active,240052,15879,,,,,,,,,,,,,,,,
53,"February 5, 2024",02/05/2024 at 8:09 AM,02/05/2024 at 7:00 AM,Trespassing,Bauer Hall,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,240046,15875,,,,,,,,,,,,,,,,
53,"January 31, 2024",02/01/2024 at 5:14 PM,01/31/2024 at 11:15 PM,Larceny,Wallace Dr.,Complainant reports theft of bike. Loss $90,Exceptional Clearance,240037,15185,,,,,,,,,,,,,,,,
53,"January 30, 2024",01/31/2024 at 8:37 AM,01/30/2024 at 4:00 PM,Motor Vehicle Theft,Eads Hall,Complainant reports theft of electric bike. Loss $1500,Active,240033,15179,,,,,,,,,,,,,,,,
53,"January 30, 2024",02/01/2024 at 2:00 PM,01/30/2024 at 3:00 PM,Larceny,Mallinckrodt Center,Complainant reported theft of catalytic converter. Loss $1000,Active,240036,15411,,,,,,,,,,,,,,,,
53,"January 29, 2024",01/29/2024 at 5:55 PM,01/29/2024 at 11:00 AM,Harassment,Beaumont Dorm,Complainant reports concerning online posts.,Closed,240029,15872,,,,,,,,,,,,,,,,
54,"January 29, 2024",01/29/2024 at 1:19 PM,01/29/2024 at 10:50 AM,Larceny,Brown Hall,Complainant reports theft of headphones. Loss $150,Active,240028,15170,,,,,,,,,,,,,,,,
54,"January 29, 2024",02/04/2024 at 10:34 AM,01/29/2024 at 10:34 AM,Larceny,Shanedling Dorm,Complainant reports theft of bike. Loss $250,Active,240043,15183,,,,,,,,,,,,,,,,
54,"January 26, 2024",02/22/2024 at 11:49 AM,01/26/2024 at 7:00 AM,Fraud,Danforth Campus,Complainant reports fraudulent bank transactions.,Active,240068,15883,,,,,,,,,,,,,,,,
54,"January 18, 2024",01/20/2024 at 3:10 PM,01/18/2024 at 6:00 PM,Larceny,Shuttle,Complainant reports theft of money. Loss $165,Active,240015,15155,,,,,,,,,,,,,,,,
54,"January 18, 2024",01/18/2024 at 4:20 PM,01/18/2024 at 10:00 AM,Harassment,Habif Health and Wellness Center,Complainant reports concerning phone calls.,Active,240012,15864,,,,,,,,,,,,,,,,
54,"January 17, 2024",01/23/2024 at 2:30 PM,01/17/2024 at 10:00 PM,Larceny,Umrath Hall,Complainant reports theft of iPad. Loss $400,Active,240018,15174,,,,,,,,,,,,,,,,
54,"January 16, 2024",01/23/2024 at 9:51 AM,01/16/2024 at 2:00 PM,Larceny,Sumers Rec Ceter,Complainant reports theft of perfume. Loss $24,Active,240017,15158,,,,,,,,,,,,,,,,
54,"January 15, 2024",01/23/2024 at 10:48 PM,01/15/2024 at 10:00 PM,Larceny,Bears Den,Complainant reports theft of money. Loss $100,Active,240006,15153,,,,,,,,,,,,,,,,
54,"January 12, 2024",01/18/2024 at 1:44 PM,01/12/2024 at 12:00 PM,Stalking,Jubel Hall,Complainant reports influx of concerning emails.,Active,240010,15858,,,,,,,,,,,,,,,,
54,"January 2, 2024",01/03/2024 at 10:22 AM,01/02/2024 at 4:30 PM,Larceny,Eads Hall,Complainant reports theft of electronics. Loss $900,Active,240002,15136,,,,,,,,,,,,,,,,
55,"December 30, 2023",01/02/2024 at 12:09 AM,12/30/2023 at 7:30 AM,Larceny,Walker Hall,Complainant reports theft of scrap metal. Loss $100,Active,240001,15138,,,,,,,,,,,,,,,,
55,"December 19, 2023",01/25/2024 at 9:25 PM,12/19/2023 at 4:00 PM,Larceny,Millbrook 3,Complainant reports theft of bike. Loss $560,Inactive,240021,15172,,,,,,,,,,,,,,,,
55,"December 19, 2023",12/19/2023 at 8:30 AM,12/19/2023 at 7:30 AM,Robbery-Off Campus,4500 block of Pine,Complainant reports that while walking to her car a suspect approached her on foot and stole her phone. Victim recovered her phone from the bushes where the suspect threw it while running away. Incident was not reported to the responsible jurisdiction.,Inactive,230482,15104,,,,,,,,,,,,,,,,
55,"December 14, 2023",12/14/2023 at 10:48 PM,12/14/2023 at 3:09 PM,Larceny,Weil Hall,Complainant reports the theft of an unsecured bicycle from the stairwell. Loss $1000,Cleared By Arrest,230476,15094,,,,,,,,,,,,,,,,
55,"December 13, 2023",12/14/2023 at 1:07 PM,12/13/2023 at 7:30 PM,Larceny,Lopata House,Complainant reported the theft of an unsecured scooter. Loss $300,Inactive,230472,15096,,,,,,,,,,,,,,,,
55,"December 12, 2023",12/21/2023 at 10:48 AM,12/12/2023 at 12:01 AM,Larceny,AC,Complainant reports the theft of a necklace from an unsecured cubby in the womens locker room. Loss $160,Inactive,230491,15102,,,,,,,,,,,,,,,,
